province,date,retail_recreation,grocery_pharmacy,parks,transit,workplaces,residential,cases,cumulative_cases
Saskatchewan,2020-03-20,-37,7,-8,-39,-36,15,22,156
Saskatchewan,2020-03-21,-51,-9,0,-37,-27,12,20,176
Saskatchewan,2020-03-22,-53,-22,39,-46,-31,10,8,184
Saskatchewan,2020-03-23,-47,-13,25,-50,-44,16,9,193
Saskatchewan,2020-03-24,-54,-22,-15,-50,-47,20,13,206
Saskatchewan,2020-03-25,-52,-17,-9,-53,-48,19,14,220
Saskatchewan,2020-03-26,-50,-13,13,-54,-49,20,11,231
Saskatchewan,2020-03-27,-50,-13,6,-51,-49,20,18,249
Saskatchewan,2020-03-28,-54,-18,11,-49,-36,14,4,253
Saskatchewan,2020-03-29,-53,-24,45,-52,-37,11,7,260
Saskatchewan,2020-03-30,-45,-16,10,-55,-49,17,11,271
Saskatchewan,2020-03-31,-49,-20,-23,-55,-50,20,7,278
Saskatchewan,2020-04-01,-51,-21,-30,-57,-50,20,7,285
Saskatchewan,2020-04-02,-50,-16,-23,-58,-50,21,4,289
Saskatchewan,2020-04-03,-47,-11,-24,-56,-49,21,9,298
Saskatchewan,2020-04-04,-57,-24,-45,-59,-39,16,2,300
Saskatchewan,2020-04-05,-55,-29,-14,-59,-39,12,1,301
Saskatchewan,2020-04-06,-50,-21,-15,-60,-50,19,3,304
Saskatchewan,2020-04-07,-45,-12,10,-53,-50,19,1,305
Saskatchewan,2020-04-08,-47,-11,-24,-57,-50,20,2,307
Saskatchewan,2020-04-09,-30,19,14,-53,-51,18,6,313
Saskatchewan,2020-04-10,-57,-28,-3,-65,-77,28,2,315
Saskatchewan,2020-04-11,-50,-11,-33,-58,-40,15,1,316
Saskatchewan,2020-04-12,-62,-43,-13,-63,-42,13,4,320
Saskatchewan,2020-04-13,-50,-24,-12,-61,-57,20,6,326
Saskatchewan,2020-04-14,-44,-12,23,-53,-49,19,5,331
Saskatchewan,2020-04-15,-39,-6,11,-55,-49,19,10,341
Saskatchewan,2020-04-16,-39,-7,17,-53,-49,19,8,349
Saskatchewan,2020-04-17,-43,-12,4,-53,-48,20,4,353
Saskatchewan,2020-04-18,-46,-14,-19,-52,-33,14,12,365
Saskatchewan,2020-04-19,-43,-21,43,-54,-34,10,1,366
Saskatchewan,2020-04-20,-35,-12,40,-54,-47,16,17,383
Saskatchewan,2020-04-21,-35,-8,87,-48,-47,16,6,389
Saskatchewan,2020-04-22,-37,-9,37,-53,-46,17,26,415
Saskatchewan,2020-04-23,-34,-5,57,-53,-46,17,6,421
Saskatchewan,2020-04-24,-41,-12,4,-53,-46,18,12,433
Saskatchewan,2020-04-25,-39,-9,46,-44,-29,10,34,467
Saskatchewan,2020-04-26,-41,-19,6,-54,-32,10,20,487
Saskatchewan,2020-04-27,-31,-6,62,-50,-45,15,25,512
Saskatchewan,2020-04-28,-31,-3,58,-48,-45,9,19,531
Saskatchewan,2020-04-29,-29,1,81,-46,-44,15,13,544
Saskatchewan,2020-04-30,-27,3,89,-47,-45,15,9,553
Saskatchewan,2020-05-01,-35,-7,13,-50,-44,17,11,564
Saskatchewan,2020-05-02,-36,-7,44,-43,-27,9,4,568
Saskatchewan,2020-05-03,-33,-10,65,-49,-26,7,5,573
Saskatchewan,2020-05-04,-27,-4,58,-48,-43,14,4,577
Saskatchewan,2020-05-05,-28,-2,91,-46,-43,14,5,582
Saskatchewan,2020-05-06,-28,1,104,-46,-42,14,8,590
Saskatchewan,2020-05-07,-26,4,102,-45,-43,14,1,591
Saskatchewan,2020-05-08,-35,-5,9,-50,-43,16,1,592
Saskatchewan,2020-05-09,-36,4,-8,-45,-25,11,0,592
Saskatchewan,2020-05-10,-23,1,76,-41,-20,5,7,599
Saskatchewan,2020-05-11,-28,-7,65,-49,-41,13,21,620
Saskatchewan,2020-05-12,-29,-5,72,-45,-41,14,2,622
Saskatchewan,2020-05-13,-27,4,75,-44,-40,14,5,627
Saskatchewan,2020-05-14,-22,8,128,-39,-41,,3,630
